col_name_2019,new_name,col_desc,key,expected_feature,sparse,category
K7Q02R_R,days_missed,Days child missed school in past 12 months due to illness or injury,"1 = No missed school days, 2 = 1 - 3 days, 3 = 4 - 6 days, 4 = 7 - 10 days, 5 = 11 or more days, 6 = This child was not enrolled in school",1,0,EDUCATION
K7Q82_R,cares_about_school,Child cares about doing well at school,"1 = Always, 2 = Usually, 3 = Sometimes, 4 = Never",1,1,EDUCATION
K7Q83_R,does_homework,Child does all required homework,"1 = Always, 2 = Usually, 3 = Sometimes, 4 = Never",1,1,EDUCATION
SC_AGE_YEARS,age,Age of child in years,,1,0,DEMOGRAPHIC
SC_AIAN,is_native,Child is native American,"1 = Yes, 2 = No",1,0,DEMOGRAPHIC
SC_ASIAN,is_asian,Child is Asian,"1 = Yes, 2 = No",1,0,DEMOGRAPHIC
SC_HISPANIC_R,is_hispanic,"Child is of Hispanic, Latino, or Spanish origin","1 = Yes, 2 = No",1,0,DEMOGRAPHIC
SC_K2Q10,has_perscription,Child currently uses medicine perscribed by a doctor,"1 = Yes, 2 = No",1,0,DEMOGRAPHIC
SC_NHPI,is_hawaiian,Child is native Hawaiian or other Pacific Islanders,"`1 = Yes, 2 = No",1,0,DEMOGRAPHIC
SC_RACE_R,race,Race of child,"1 = White alone, 2 = Black or African American alone, 3 = American Indian or Alaska Native alone, 4 = Asian alone, 5 = Native Hawaiian and Other Pacific Islander alone, 7 = Two or More Races",1,0,DEMOGRAPHIC
SC_SEX,sex,Sex of child,"1 = Male, 2 = Female",1,0,DEMOGRAPHIC
NOTELIG,not_eligible,Health care not recieved due to ineligibility,"1 = Yes, 2 = No",1,,DEMOGRAPHIC
NOTOPEN,not_open,Health care not recieved due to the doctor's office not being open,"1 = Yes, 2 = No",1,,DEMOGRAPHIC
TRANSPORTCC,transportation,Health care not recieved due to not having transportation,"1 = Yes, 2 = No",1,,DEMOGRAPHIC
S4Q01,doctor_visit,Child visited doctor during past 12 months,"1 = Yes, 2 = No",1,,HEALTH
K12Q12,gov_health_plan,Child is currently covered by government health plan,"1 = Yes, 2 = No",1,,ACCESS
K5Q32,doctor_school_comm_satisfaction,,"1 = Very Satisfied, 2 = Somewhat satisfied, 3 = Somewhat dissatisfied, 4 = Very dissatisfied",1,,EDUCATION
MEMORYCOND,memory_condition,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition","1 = Yes, 2 = No",1,,HEALTH
MENBEVCOV,ins_for_mem_condition,"Thinking specifically about this child's mental or behavioral health needs, how often does this child's health insurance offer benefits or cover services that meet these needs?",5 = This child does not use mental or behavioral health services 1 = Always 2 = Usually 3 = Sometimes 4 = Never Skip if CURRCOV=2,1,,HEALTH
PHYSICALPAIN,physical_pain,Repeated or chronic physical pain,1 = Yes 2 = No,1,,HEALTH
K2Q32A,depression,Depression?,1 = Yes 2 = No,1,,HEALTH
SC_K2Q22,emotional_problem,"Does this child have any kind of emotional, developmental, or behavioral problem for which he or she needs treatment or counseling?",1 = Yes 2 = No,1,,HEALTH
K7Q84_R,finishes_tasks,How often does this child work to finish tasks he or she starts?,1 = Always 2 = Usually 3 = Sometimes 4 = Never,1,,EDUCATION
K5Q20_R,helped_arrange_care,"DURING THE PAST 12 MONTHS, did anyone help you arrange or coordinate this child's care
among the different doctors or services that this child uses?",1 = Yes 2 = No 3 = Did not see more than one health care provider in past 12 months Skip if S4Q01=2,1,,HEALTH
TOTCSHCN,num_special_health_care,Count of children with special health care needs,0-4,1,,HEALTH
K7Q85_R,stays_calm,How often does this child stay calm when faced with a challenge?,,1,,DEMOGRAPHIC
K8Q31,hard_to_care_for,"During the past month, how often have you felt that this child is much harder to care for than most children his or her age?",1 = Never 2 = Rarely 3 = Sometimes 4 = Usually 5 = Always,1,,HEALTH
BULLIED_R,bullied,"DURING THE PAST 12 MONTHS, how often was this child bullied, picked on, or excluded by other children?",1 = Never (in the past 12 months) 2 = 1-2 times (in the past 12 months) 3 = 1-2 times per month 4 = 1-2 times per week 5 = Almost every day,1,,DEMOGRAPHIC
MAKEFRIEND,friends,"Compared to other children his or her age, how much difficulty does this child have making or keeping friends?","3 = A lot of difficulty 2 = A little difficulty 1 = No difficulty Skip if SC_AGE_YEARS<3
",1,,DEMOGRAPHIC
K2Q33A,anxiety,Anxiety?,1 = Yes 2 = No,1,,HEALTH
CUTHOURS,cut_hours,": DURING THE PAST 12 MONTHS, have you or other family members: Cut down on the hours you work because of this child's health or health conditions",1 = Yes 2 = No,1,,HEALTH
BREATHING,breathing_problems,Breathing or other respiratory problems,1 = Yes 2 = No,1,,HEALTH
K5Q21,need_extra_help,"DURING THE PAST 12 MONTHS, have you felt that you could have used extra help arranging or coordinating this child's care among the different health care providers or services?",1 = Yes 2 = No Skip if S4Q01=2 or K5Q20_R = 3,1,,HEALTH
HEADACHE,headaches,"Frequent or severe headaches, including migraine?",1 = Yes 2 = No,1,,HEALTH
DECISIONS,needed_decisions,"DURING THE PAST 12 MONTHS, did this child need any decisions to be made regarding his or her health care, such as whether to get prescriptions, referrals, or procedures?",1 = Yes 2 = No Skip if S4Q01=2,1,,HEALTH
SC_K2Q16,limitations,Is this child limited or prevented in any way in his or her ability to do the things most children of the same age can do?,1 = Yes 2 = No,1,,HEALTH
K5Q10,needed_referral,"DURING THE PAST 12 MONTHS, did this child need a referral to see any doctors or receive any services?",1 = Yes 2 = No,1,,HEALTH
K7Q04R_R,reported_school_problems,"DURING THE PAST 12 MONTHS, how many times has this child's school contacted you or another adult in your household about any problems he or she is having with school?",1 = None 2 = 1 time 3 = 2 or more times,1,,EDUCATION
STOPWORK,left_job,Left a job or taken a leave or absence because of this child's health or health conditions?,1 = Yes 2 = No,1,,HEALTH
SC_CSHCN,special_healthcare_selected,Special Health Care Needs Status of Selected Child,1 = SHCN 2 = Non-SHCN,1,,ACCESS
SC_K2Q13,needs_more_help,"Does this child need or use more medical care, mental health, or educational services than is usual for most children of the same age?",1 = Yes 2 = No,1,,HEALTH
TOTNONSHCN,num_without_special_healthcare,Count of children without special health care needs,0-4,1,,HEALTH
STOMACH,stomach_problems,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea",1 = Yes 2 = No,1,,HEALTH
FPL_I1,federal_poverty_level,Household income as a percentage of the federal poverty level,"Continuous variable on [0 to\infty)",1,0,DEMOGRAPHIC
